Username,Ulasan,Keterangan
tohirotul maghfiroh,"Awal kesana, brgkt dari sambikerep jam 8 pagi, smpai sana macet, emng sih karcisnya gk antri lama, panas parkiran jauh krn full. Kok bosen ya, krn terllu banyak jenis burung. Burung yg paling banyak, mana beli gado"" di dlm sana gk enak pula, sayurnya kyk gk fresh, bumbunya juga gk gurih, mending beli mie instan aja wes.",2
Ariana cleo,"Tempat rapih,bnyk jg spot foto buat selfi.. Harga msk 15k/org,utk batita jg kena harga full wlu baru 2tahun,hrsnya diadakan karcis anak donk agar tarif beda! Kmarin dteng pas weekend,soo lumayan rame",1
Nadia Okty,"Udah makin ok.
Meskipun hewannya masih terbatas",1
Dian Ratri,"Banyak spot foto yang bagus, sekarang lebih bersih dan terawat daripada 2 tahun yang lalu, Ada aquarium kaca juga, pengunjung bisa melihat berbagai macam fauna laut dari jarak dekat, namun untuk masuk ke akuarium ini harus beli tiket lagi, …",1
Ale Bryan,"Lingkungan KBS semakin tertata modern, asri, byk stand jual makanan dn minuman. Capek jalan?? Tdk usah kuatir, byk tempat duduk di bawah pohon rindang. Fasum toilet, tong sampah, dn wastafel ckp memadai.",1
adam sangdjaya,"Pelayanan dan tata krama karyawan kebun. Binatang surabaya super duper ramah dan terbaik.
Segi kebersihan dan kerapian juga sudah sangat lebih baik lagi. …",1
Asfi I. A.,"sudah banyak direnovasi sehingga lebih bagus dan rapi, tapi sayang masih banyak satwa yg terlihat kurus dan lemah, bahkan ada beberapa yg terlihat seperti kurang sehat. untuk fasilitas dan sarana prasarana sudah lumayan oke tapi seperti …",0
Deasy Hutagaol,"Bersih,adem,nyaman dan banyak pepohonan hanya agak cape juga mengelilingi KBS jalan kaki",1
Yogi Untoro,"Harga masuk 15rb/org bayar pake QRIS, masuk wahana aquarium + habitat buaya bayar lagi 30rb/org tempatnya luas sekali bisa sekalian piknik sama keluarga seru",1
Fendy Tambuwun,Ke 3 kali nya sy mengajak anak2 berlibur melepas penat aktifitas kerja dan sekolah anak2. Banyak varietas Binatang2 yg jarang ditemukan di kebun binatang besar lainnya.  Anakku suka berkunjung ke kandang beruang madu. Melihat mereka bercanda serasa anak2 bermain ceria. Senangnya kembali kesini,1
Hans Purba,"Salah satu tempat wisata di surabaya yang sudah menjadi identitas kota. Dimana bisa kita jumpai patung suro dan boyo yg menjadi lambang kota surabaya. Pengelolaan kebun binatang saat ini jauh lebih baik dibandingkan dulu th 90an, kebersihan …",1
N & S,"Ini bagus, salah satu ikon yg membanggakan. Tempatnya juga rindang.",1
naura elkaysa,"Hiburan buat anak anak..
Tempatnya adem, anak anak juga bisa belajar mengenal ciptaan Allah, yaitu hewan2...",1
Fauziah Rahmah,"Denger-denger merupakan salah satu kebun binatang terbesar di Asia Tenggara. Jujur sempat ragu mau ke sini, karena waktu dulu terkenal karena masalah kesejahteraan hewannya, tapi karena kebetulan ada free time di Surabaya, saya sempatkan …",0
KopiAyah (TehBunda),"Lumayan bagus, dan berharap terus dilestarikan. Tempatnya bisa dibuat bersih dan hijau lagi. Berharap, selain melihat2 hewan, ada event2 pertunjukan aksi hewan atau acara yg lebih seru , terutama untuk audiens anak2",1
Febry Wiraputra,"kebun binatang sekarang dengan yg dulu jauh berbeda. sekarang lebih bersih, nyaman, rapi. Tiket masuk 15 rb sangat worthed dengan tempat yg senyaman itu. Semoga KBS Surabaya lebih baik lagi kedepannya",1
hanny handayani,Tempat yang lumayan banyak perubahan dari terakhur kesini sebelum korona menyerang... lebih banyak tukang jajanan.. dan tersebar di pinggir2 kebun binatang.. kalo dulu tukang makanan khusu di belakang deket arena gajah.. terlalu mahal untuk …,0
permatabetul hamba,"Anak anak suka, wisata edukasi mengisi liburan menjelang ramadhan",1
Velisya Ningtias,Silahkan dikunjungi untuk menambah pengetahuan anak tentang binatang. Dan dalam rangka mempererat hub orang tua anak,1
Efna Erick,"Tiket masuk 15rb per orang tapi nanti klw mau ngasih makan jerapah (100k), naik gajah, naik unta, masuk aquarium (30rb) bayar lagi... Tempatnya luas, adem jg krn banyak pohon rindang...",0
Ilyas Annan,"Sudah semakin bagus daripada dulu.

Kebun Binatang Surabaya (KBS) pertama kali didirikan berdasarkan SK Gubernur …",1
Sang Petualang,Cukup ramai saat aku berkunjung. Agak kecewa sih soalnya di instagram infonya bisa bayar non tunai eh pas di lokasi katanya ndak bisa. Itu juga tidak ada pengumuman di sekitar loket tiket masuk. Jadinya udah antre mau bayar gak jadi harus …,2
Ariatta Lucia,"Bersih.. Pas puasa sepi, jadi puas.. Sayang hujan. Bersih, ramah stroller..",1
Asroni Angelita,Saya hari antar anak wisata tour dikebun bintang Surabaya sekitar masuk jam 8pagi pulang jam 11 siang disaat jalan anak istri minta kekamar mandi /toilet  petugas penjaga toilet dekat musholla masak  orang 3harus bayar 6000 padahal saya …,2
Lettycia Nia,"Tiket masuk 15k. Anak-anak tinggi diatas 85cm sudah dikenakan tiket.

Tempatnya bagus banyak pohon jadi rindang, ga terlalu panas karena mengingat …",1
Marga Dwi,"Wisata edukasi buat sikecil,tiket masuk 15k/org.untuk anak usia 2thn keatas dikenakan tiket untuk dibawah 2thn free..
Masuk ke aquarium tiket 15k/org
Banyak spot selfie baru",1
Salsabila Febryanti,cocok banget wisata disini barang keluarga bisa mengenalkan berbagai macam hewan disini,1
Saikhul Arif,Nikmati setiap momentumnya karena ia takkan pernah kembali seperti sedia kala,1
Hendrika Dawi,Terlalu padat pada hari Minggu. Koleksi binatang semakin berkurang.,2
kustri yanti,"Luas, HTM murah meriah. Fauna lumayan banyak",1
Lily,"Jalan2 ke kbs sembari nostalgia masa kecil bareng suami hehehe.
Karena weekend jadi sudah dipastikan di dalem crowded sekali, tapi karena ada pintu masuk lain (menghadap TIJ) jadi antrean hanya sedikit saat beli tiket. …",0
Selamet Aurofik,"Tempat pembelajaran anak"" untuk lebih mengenal satwa dan habitatnya",1
Imam Fantowi,Banyak hewan endemik dan langka yang ada disini.,1
Budi Pitoyo,Tempatx skrg makin adem dan byk spot fto...taman tertata rapi track pengunjung mkn nyaman..,1
Nurul Firdausia,"Bagus disini bisa mengenal satwa dan mengedukasi adik""😁 …",1
Fitra Luqman Hidayat,"Dengan keterbatasan tempat, semoga bisa ditambah koleksinya dengan mengoptimalkan kembali lahan2 tersedia. Sangkar burung besar dekat kandang harimau/perahu bebek, masih kosong. …",0
Eka Mayasari,"Saya sebagai orang asli tangerang...
Jujur tempat wisata bonbin di surabaya sangat bersih &  menyenangkan banyak binatang.. …",1
Afiyah Febriana,Tempat rekreasi keluarga yang wajib banget dikunjungi. Tempatnya asri. Harga tiket masih aman dikantong. Serta banyak  yang dapat kita perlajari seputar satwa disini. Pelayanan juga lumayan baik dan memuaskan. Akan tetapi sekarang jumlah hewan sedikit berkurang. Sedikit kotor karena banyak sekali pengunjung.,0
Niko Arifandi NOComp,"Sudah lama tidak mengunjungi KBS...
Terakhir kesana msh saya SD.
Sekarang bawa anak2 ke KBS, …",1
Anggraeni Reni,"Tempat edu wisata keluarga,cocok buat ngajak anak berlibur sambil bljr mengenal hewan',, tempat parkiran luas,ada mushola, toilet,dan bnyk tempat duduk,, saran untuk bawa troli biar ga cape bawa barang bawaan saat jln' hehe tempat nya nyaman bangettt bersih dan terjaga",1
Mario Sensei,Bagus. Tapi untuk akuarium itu gratisin dong minimal bayarnya jgn mahal2 masa lebih mahal daripada tiket masuk KBS sih. Minimal 10k biar ramai tempatnya juga orang gak kcewa,0
RAFLY Daffa,Fasilitas disini sudah bagus dan memadai.banyak terdapat stand-stand makanan disekitar kebun binatang yang termasuk murah yaitu semua makanan harganya mulai dari Rp 5.000. Overall 8/10,1
Eva Indira,Magnetnya ya cuma memberi makan jerapah dan naik gajah 😊 …,1
Ismail Muhammad,"Kalau pas liburan otomatis parkirannya membludak,dan ikut pula tarifnya yg naik gila2 an. Masa dikertas parkir tertulis 10000. Disuruh bayar 50.000 ???
Akhirnya agak saya nego. Kalo mau viral tak viralkan.tukang parkirnya akhirnya nggak jadi narik 50.000.",2
Iwan Manalu,Icon khas kota surabaya yang terletak di area kebon binatang surabaya..,1
Rendy Testidia,Enak bngt tempat nya bersih.. Cocok buat bw si buah hati.. Bisa mengetahui hewan yg jarang yg kita lihat.. Anak sy senang sekali,1
Nikmatul Azizah,Kebun binatangnya luas banget sampai belum keliling semua tapi udah capek banget. Tapi waktu ke kebun binatang ada banyak banget bocil- bocil sedang mewarnai jadinya kayak bukan liat binatang malah liat bocil wkwk,0
Tita,"Kebun Binatang Surabaya merupakan tempat yang nyaman sekali untuk liburan bersama keluarga terutama jika memiliki anak-anak.
Jalan setapaknya juga bagus, kandangnya terawat. Ada wisata perahu dan sepeda air.",1
saepul official,"Tempat wisata yang bagus,dan menyenangkan..cocok untuk semua kalangan..harganya juga masih terjangkau..banyak tempat yang indah yang bisa di jadikan untuk berpoto dan beristirahat",1
Krisna Yurindra,"Tempat,suasana menyenangkan untuk orang tua yang ingin mengajak anaknya refreshing,bertamasya,belajar mengenal hewan sekaligus rekreasi. Anak saya sangat antusias dan suka sih,padahal masih usia 9 bulan tapi dia ceria senang banget bisa …",1
Maya Ratna,"Sudah banyak sekali kemajuan di kebun binatang surabaya ini. Tempat lebih bersih, lebih rindang sehingga udara didalam nya lebih seger, dan banyak spot2 poto yg bagus juga. Untuk hewan2 nya juga tempat nya lebih bersih tidak bau, lebih terawat pokok nya. Harga tiket murah banget,.😄😄 …",1
em.shohib al`haroueΠ,"Cukup untuk membuat edukasi anak, untuk tempat nyaman,bersih,sejuk,
Tapi entah kenapa setiap wisata pasti untuk pergi ke toilet harus bayar, padahal toilet tersebut fasilitas untuk pengunjung",0
Ast Pray,Tempat Wisata  Keluarga terjangkau dan terbaik di Surabaya,1
Afifah Jee,"Habis diperbarui, byk spot foto, tp hewannya krg lengkap, jaraknya jg jauh jd kl difoto ga begitu jelas hewannya, ga ky dulu. Tp cocok lah buat refreshing soalnya tempatnya jg sejuk",1
Dafi Starjet,"City tour tidak lupa berkunjung ke kbs yang luas dan pastinya pakai jasa @starjet_tourtravel (instagram) 0812 3537 2620 pelayanan maximal & travel yang sudah berkredibel 😊❤️ paket tur, sewa elf-bus dll …",1
Nur Aini Indah Hermianty,"Petugas perawatan kurang pagi atau bisa juga kurang banyak, terlihat saat pintu masuk dibuka petugas masih bersih2 dan memberi makan hewan. Sehingga banyak hewan yang masih berada di dalam sangkarnya, blm siap di area display.",2
Tri Santosa,"Bersih, nyaman, hewan terawat dengan baik 👍👍👍 …",1
Ervin Kurnia,"KBS sekarang lebih bagus daripada yg dulu, cuma hewan2'nya kayaknya lebih sedikit. Di bagian aquarium contohnya, kita masuk bayar lagi per orang/anak 15k, anakku 4th jg kena karcis (2 karcis 30rb) sudah bayar penuh tapi di dalam aquariumnya …",0
Ahmad Barizi,"Keren sih tempatnya, tapi untuk masuk ke dunia aquarium disana harus bayar lagi",0
Olivia Sulistyawati,"Makin bagus, mulai ada perbaikan di bbrp tempt, meskipun masih ada yg kurang, setidaknya banyak perubahan. Tp lebih bersih lah, dan mulai tampak terawat.
Koleksi hewan masih belum sebanyak dulu. …",1
Dicky Firmansyah A.,"Salah satu tempat wisata keluarga yang dapat dijangkau oleh semua orang. Terletak di pusat kota Surabaya, menjadikan kebun binatang ini dikunjungi oleh banyak wisatawan domestik dari berbagai kota di Jawa Timur. …",1
Titis Ekasari,"Di hari weekend suasana ramai
Beli tiket gampang tanpa harus antri, bisa bayar cash / pun qris, HTM nya 15 rb
Semoga kebun binatang Surabaya bisa lebih dikembangkan",1
Cah Rantau,Merantau pertama berkunjung dikebun binatang yg luas,1
PT. ESTU PUNDI PERSADA,"Tempatnya sekarang bersih, varian ""penghuni"" nya tidak sebanyak dulu, cuma monyet yang melimpah. Overall bagus untuk edukasi anak dan keluarga, bisa jadi tempat edukasi setiap 2 minggu sekali",1
Tery Luana Madasari,"Pelayanan tidak ramah, yang ramah hanya penanggung jawabnya saja.
Bayar rombongan paket edukasi mahal2 tidak worth it sekali. Pertama dan terkahir kesini. Terimakasih …",2
Indah Sari,Dulu pernah beli via online skrg uda ga bisa. Tp skrg uda bisa bayar pakai qris,0
Novia Damayanti,"Harga masih 15ribu per orang . Paling enak jalan klo pas hari biasa aja hehe . Klo sabtu minggu penuh . Enak juga pas nuansa ramadhan , jalanan lenggang jadi puas lihat tiap hewannya.",1
Kustanti Minami Hashimoto,"Terakhir kesana tahun 2019. Sudah ada banyak perubahan yang lebih baik.
Bersih dan bagus buat foto2.
Mungkin bisa dipertimbangkan untuk menambah lahan parkir, kami parkirnya jauuuh …",1
achmad yahkyah,"Karena sudah lama saya tidak ke sini, jd kemarin weekend saya ke sini sama istri, dan alhamdulillah seneng sekali, udah bersih, hewan2 pun terlihat sehat, cuma di bagian kandang rusa ada sebagian rusa yg kelihatan kurus. …",1
Om Krey,Maaf sedikit saran aja. Untuk petugas sering² keliling untuk menegur pengunjung yang merokok di dalam area karena banyak anak kecil bahkan balita yang berada dalam KBS. Terima kasih,1
kurnia antika,"Lumayan rame pas kesini, jadi Kya kurang leluasa mau foto² sama liat hewan² nya.
Tapi sejauh mata aku liat nya tempatnya bener² bersih, toilet nya juga bersih banget dan gak bau😁 …",1
nunung suyanti,"Yg sy soroti kenapa harga jajanan,minuman di dalam mahal sekali contoh indomil botol kecil diluar 4500 d dalam 10.000,jd image nya mahal mahal ...KBS bukan taman safari kebayakan masyarakat menengah kebawah ...saran  sy cm itu saja dikontrol lah soal harga krn semua orang sdh ngerti",0
Namaku Bang_Ali,"Pernah antar teman kesini, dan tempatnya cukup menarik untuk dikunjungi keluarga",1
Yohana kusuma,"Sdh bnyk pembenahan didlmnya..cmn ada beberapa binatang yg dulu ada skrg tdk ada(panther,singa,kancil)sprtny koq gak ada ya..apa mgkn saya yg kurang jeli..hehehe..unk PKL yg ada didlm area sprtnya hrs ada pembenahan supaya lbh rapi.suasana nyaman dan bagus buat edukasi unk anak2 tentang jns2 binatang😊 …",1
RUDI KA,"Tempat luas sejuk banyak pepohonan sangat nyaman untuk liburan keluarga,terutama untuk edukasi anak-anak pengetahuan tentang satwa.
Bisa bermain,bercanda,bersama anak-anak sambil belajar.",1
tawel liya,.tempatnya sejuk asik untuk bersama keluarga...,1
nabilla nurul,"Kali ini kami membawa orang tua kami u/ berkunjung ke KBS. Dulu pernah sekali kesini bawa anak 1 saja dan itu berasanya tempat masih luas banget lebih nyaman. Kali ini kami dgn 3 anak dan 2 ortu, suasana nya agak kurang nyaman ya mungkin …",0
Verena Christabel,Tempat wisata edukasi cocok untuk mengisi liburan anak. Tempatnya cukup luas dengan berbagai macam satwa. Fasilitas lengkap dan pelayanan oke,1
Tri Sayekti,"Ramai pengunjung, tapi tetep bersih.",1
a hikmat nuruloh,"Enggak nyesel liburan ke kebun binatang d kota surabaya ini, sangat menarik sekali sayang kalo temen-temen semua nggak liburun kesinih,,,,apalagi d saat libur panjang ini,,,,",1
Chalik Maulana,"Bagian tidak menyenangkan banyak calo parkir, pintu masuk buka dan parkiran dalam kosong ketika mau masuk pintu ke parkiran langsung ditutup pake water barier oleh petugas parkir kbs, dan disanalah para calo parkir bermain dan ditarik 25 …",2
novia muryanii,"Tempat wisata yg wajib di kunjungi bareng sama keluarga selain liburan bisa jadi tempat edukasi anak"".. selain itu tempatnya juga asri sejuk dan instagrambel banget.. pokoknya wajib berkunjung ke sini",1
Adi Santoso,"Lumayan, ada banyak hewannya.
Anak anak suka.
Bisa ditingkatkan lagi kebersihannya biar lebih greget.kemudian untuk rutenya sebaiknya dikasih lebih jelas seperti tanda panah atau peta kecil",0
Louis jo,"Udah lama banget ni kebun binatang dan menjadi wisata edukasi yang cocok untuk anak-anak maupun keluarga. Banyak satwa yang ada di kebun binatang ini dan lumayan lengkap seperti gajah, beruang, jerapah, dan lain-lain. Fasilitas pun juga lengkap untuk keperluan pengunjung",1
Prize Valianto,Wisata edukasi legendaris sejak jaman saya masih kecil & sekarang untuk anak-anak saya,1
Zebra No,Tempat wisata keluarga 😍 kalo bawah anak2 pasti mereka senang 🤩🤩 dan Disediakan banyak tempat duduk untuk menunggu/istirahat sejenak sambil buka bekal🤭😍 …,1
Pak Jemono,Alhamdulillah sdh ada perbaikan yg lumayan dibandingkan tahun sebelumnya.dan sekarang perubahannya luar biasa.lebih bagus lebih tertata dan lebih nyaman buat pengunjung.jadi lebih mengasikkan jika healing ke KBS.good and ok.,1
chanel Lalakilangit,"Tempat rekreasi yang sangat edukatif.
Selain sarana berlibur dengan keluarga yang asik, juga menambah wawasan dan pengetahuan. …",1
Aishima Guna Praja,"Tempat wisata sekaligus edukasi buat anak-anak.. paket komplit, refreshing, makan2 sekalian belajar juga.. tempat duduk banyak jangan takut pegel..🤩🤩👍👍👍 …",1
M.Syauqi_ Fakhri,Tempat ini sangat cocok untuk tempat belajar sekaligus belajar bersama putra-putri Anda. Dan di kebun binatang ini juga banyak sekali koleksi hewan hewan dan lain sebagainya.,1
Muhammad Fauzi Nurrahman,Berkunjung ke KBS sangat menarik. Bisa menjadi bahan pembelajaran mengenai satwa dan semua spesies hewan yang blm bnyak orang tau,1
Agus3tri,"Tempat rekreasi dan edukasi mengenai fauna khas Indonesia dan beberapa fauna dari belahan dunia lain. Koleksinya lengkap, tertata dan terjaga dengan baik. Dari mulai fauna darat, air maupun udara, semua ada, semua terawat. Tempatnya luas, …",1
Devita Maswaya,"Tempat wisata edukasi keluarga khususnya anak-anak, bisa family gathering, atau reakreasi anak TK dsb. Tempat nya asri, nyaman dan banyak hewan2 nya..disarankan membawa stroller utk yg bawa balita 🥰 …",1
Angelika Daxkcg,"Tempat wisata yang sangat pas buat ajak keluarga liburan nih, memperkenalkan anak"" untuk melihat macam"" hewan, anak"" pasti akan senang jika diajak liburan kesini",0
Pujo utomo,"Oke, bagus, merakyat.
Mungkin kedepannya perlu disediakan smoking area, mengingat himbauan melalui banner tidak cukup untuk menghentikan tindakan merokok di dalam kawasan. Terlebih lagi, surabaya zoo lebih banyak didatangi wisatawan yg datang bersama anaknya.",0
チャイChay,"Kebun Binatang Surabaya (KBS)
●Tiket masuk KBS Rp 15.000 per orang, bayi tidak dihitung
Optional di dalam KBS : …",0
Rini Winaraih,Dulu masuk langsung keliling banyak binantang sekarang masuk banyak spot2 jualan🤣 …,2
Qurata Ajuni,"Sekarang jadi baguuussss, bersiiihhh banget. Tiket masuk murah. Tp tiket akuarium masih lumayan hehehe. Cb tiket disamakan dgn di depan. 30rb terlalu tinggi.",1
Akasha Shop,Wisata edukasi hewan untk anak². Fasilitas lengkap dan sangat nyaman. Bwa stroler dan ckup air mnun ya gaes d cuaca yg ckup terik belakangan ini,1
Ardan Sisma,Kok binatang agak kurusan ya.. Ky singa sm harimaunya kurus banget,2
Riska Puja Novianti,"Tolong ya disediakan fasilitas pojok asi untuk ibu yg menyusui
kmrn saya kesana nyari nyari tempat pojok asi gk ada disayangkan sekali tempat seluas itu, tempat wisata yg banyak anak kecil dan bayi tp tidak disediakan",2
eep syaepullah,"Menyenangkan, edukasi dan rekreasi keluarga...mantaaapppppp",1
winda wanerin,"Cocok untuk anak2. Tiket masuk murah, cuma harus bayar lagi untuk atraksi dan wahana di dalamnya, yg mana lebih mahal..",0
Niswatun Masruroh,"lokasi bersih,dan mudah dijangkau,recomended buat yg mau ngajak jalan2 anak",1
OkiJeli Official,"Kebun Binatang yang berada di tengah kota Surabaya, sebagai jantung kota Surabaya, dengan ikon patung Sura dan Baya, Mengajak keluarga dan anak2 untuk berlibur kebun binatang dan setelahnya bisa keliling ke kota Surabaya karena aksesnya mudah dan dekat.",1
Ajat Sudrajat,"Sangat cocok buat berlibur sama keluarga dan bawah anak2, tiket juga murah lokasi luas tempat duduk banyak  sediain tempat",1
Amrulloh Ibnu,Tempat yang recomended utk rekreasi keluarga terutama anak anak. Tiket terjangkau.,1
Rizki Bagus,menyenangkan sekali. rasanya butuh lebih dari 1 hari untuk bisa menikmati semua wahana disini. wahananya lumayan lengkap dan tamannya ditata dengan rapi. makin banyak spot selfie dibanding 20 tahun yg lalu. perfect sih buat liburan ketimbang harus ke mall. sayang koleksinya banyak berkurang dibanding dulu,1
Ika A Rohmawati Binti Rahmanto,"Lumayan ada perbaikan dari kondisi kemarin. Banyak wahana baru seperti Bird of Prey Show, Kids Zoo, 3D Animation Show, Kids Swimming Pool, wahana hewan-hewan air dan reptil. Hampir semua wahana yg disebutkan diatas dikenakan biaya tambahan, …",0
Peter Indrajaya,"Salah satu jujukan wisata surabaya yg legendaris
Dengan tiket masuk 15rb rupiah, pengunjung bisa melihat banyak satwa yg menarik dan cukup bersih …",1
Achmad Ansori,"Tiket 15 rb sudah dpt keling"" lihat hewan",1
Devi novitarini,"Asri tempatnya , masih sama seperti dulu.. murah juga cuma 15rb masuknya",1
TAUFIK FATKUR,"Didepan pintu masuk Preman bisa seenaknya menghadang bis & masuk ke bis, padahal isinya anak TK. A dan ibu-ibu,   rombongan otomatis masuknya lebih jauh karena bis diminta parkir Preman diluar area...",2
Rizt Anthoni,"Dibanding tahun² sebelumnya, Kebun Binatang Surabaya sekarang mulai berbenah memperbaiki pelayanan, tontonan, hewan yang ada dikandang ataupun lingkungannya lebih tertata rapi. …",1
Akhmad Fakharuddin,KBS atau kebun binatang surabaya dulu disebut bonbin adalah salah satu tempat wisata sekalian edukasi yang apik dengan harga terjangkau. …,1
Fendy4all,JANGAN PARKIR disekitar/diluar KBS banyak preman. Tarif >= 20 rb boss... Pak Walikota minta tolong tertibkan sebelum VIRAL,2
Kresna Pratiwi,"Sebenarnya tempatnya rindang & nyaman, instagramable juga sayang koleksi hewannya kurang banyak & msk ke hewan malam + aquarium harus bayar 30rb lagi",0
Wahyu Alfiandy,"Tempat Edukasi Hewan kepada anak²
Parkir sepeda motor 5rb
Keluar masuk dengan menunjukan stnk …",1
Bang Ali7,"Kebun Binatang Surabaya (KBS) merupakan kebun binatang yang terletak di kota Surabaya, Jawa Timur, Indonesia. KBS didirikan pada tahun 1916 dan merupakan kebun binatang tertua di Indonesia. KBS memiliki luas area sekitar 15 hektar dan …",0
Adam Shofiyullah,KBS. Cocok buat belajar untuk anak anak.,1
Bintang Berlian AS,"Tempat yang asyik untuk liburan dan bersantai sambil melihat berbagai jenis satwa, letaknya sangat strategis karena berada di tengah kota",1
Suhartatik Dewi,"Wisata keluarga yang murah, ramah di kantong, dari malang bisa naik Kereta Api",1
Murtia Ningsih,"Tambah cantik dan Berkreasi
Suka jadi main kesini lagi",1
agung setiawan,"Sarapan sik Luurrr,, nang jero kbs ndak ono warung makan",0
Sabrina Aisah,Jadi super bersih gilaaaa beda bgt dari yg dulu. Masuknya 15rb. Ada makanan minuman di dalem cuma emang cukup mehong yaa …,0
gendot rusdiono,"Makin bagus tempatnya,banyak taman2 bagus untuk foto bersama keluarga & tidak kumuh lagi. Wisata edukasi yg cocok bagi keluarga & anak2. 👍🏻👍🏻👍🏻 …",1
Intan permatasari,"Tetep jadi tempat wisata lokal favorit sejak jaman kecil... tempat di tengah kota surabaya, terjangkau sekali untuk lokasi, tiket masuk, serta transportasi. …",1
Helmy Ghatod,"orang utannya minta makan, memang karena lapar atau memang kebiasaan hewan nya ya?",0
Marcelina Dwi Safira,"bagus kesana pas hari senin jadi tidak begitu ramai, tiket 15rb. hewan nya banyak tempat nya luas dan adem banyak pohon besar",1
CHEF PEWE GAMING,Masih blum maksimalnya perwtan dan bila tmpat parkiran dlm penuh parkiran liar di luar tarifnya sangat semau tukang parkirnya mlbihi parkir di dlam area KBS,2
Hilman Abdurrahman,"Suka banget dengan tempat kebun binatangnya, sangat bersih dan indah + luas juga, rekomendasi banget buat ajak keluarga yah.. 👍👍 …",1
Khosati,"Semakin bagus dan nyaman,cuma kecewa sama petugas toilet yg krng mengenakkan.bukan masalah bayar nya,LBH sopanlah bicara.terima kasih",2
esty aningtyas,"Kebun Binatang Surabaya..
Destinasi wisata yang bisa dinikmati semua umur.
Banyak spot foto yang menarik. …",1
Jamal Rastafara,"Sini kawan ngk usah bingung buat liburan langsung aja datang ke kebun binatang surabaya banyak hewan""menggemaskan loo lucu"" menarik",1
Dinna Indriani,"Tambah bagus, banyak spot foto yg keren.....kandangnya banyak yg sudah di renovasi, beberapa diganti kaca sehingga lebih menarik. Sayang masih banyak sampah bekas bungkus makanan/minuman (pengunjung blom punya kesadaran tinggi mengenai buang sampah pada tempatnya).",1
PREMAN SD,Libur nataru mantap pengunjung ramai,1
irfan k,"Pengelolaan sudah lebih baik, parkir mobil dan motor sudah rapi dengan paving block jadi tidak becek. Bagian Aquarium disponsori Pelindo III. …",1
zesica Syafa,"Tempat nya bersih, bagus, cocok untuk anak-anak",1
Seira J. Loyard,"Mantap sih bagus, tapi sayangnya waktu lebaran mobil pribadi gak ada parkirnya, di suruh parkir diluar atau di terminal...",0
Bestie Ngetrip,"Tempatnya luaass, sejuk asri banyak pohon-pohonnya, bersih, satwanya lumayan banyak. Ada mushola, ada kulineran juga. Toiletnya bersih. Ok lah untuk wisata edukasi anak2. Kalo pas weekend rame bangeet..",1
Romy Mahyudin,Tempat edukasi yang fun buat keluarga terutama untuk anak-anak..semoga kedepannya makin banyak nambah satwanya biar makin seruu,1
Betta Wahyu R.M,Sudah lumayan baik. Namun perlu perawatan lagi ketika musim kemarau. Beberapa tanaman kelihatan kering,0
agustin sarah wanti,"kesini tanggal 02 Februari 2021, booking jarus onljne.. waktu berkunjung weekday jd enak sepii. makin bagus, bersih dan makin rindang.. harga tiket 15ribu weekday, protokol kesehatannya pun oke.. banyak terdapat wastafel cuci tangan. topp deh",1
Ikrar Mujahid,Surabaya Zoo sangat inspirasi dan fasilitas sangat baik sekali,1
Doni Setiyabudi,"Lebih tertata dan menarik,serta terawat",1
agungugang,"Tempatnya cukup luas cocok buat yang suka Jalan dan melemaskan otot kaki. Isinya ya cuma binatang saja namanya juga zoo, Ada monyet, berbagai jenis burung, kudanil, gajah dll. Tiket masuk tahun 2020 rp.15k per orang",1
Adinda rzq,"Kebun Binatang tempat paling cocok buat liburan keluarga, dan edukasj si kecil.
Tidak hanya tempat liburan saja, melainkan kebun binatang bisa jadi tempat untuk acara pentas seni. …",1
dewy Novi,"2 hr berturut kesini
Nyaman adem ditengah cuaca hot minggu ke2 dan ke 3 bulan nov
Banyak spot buat selpih 😍😍😍 …",1
Amanah Puspaningtyas,"Kebun Binatang Surabaya kini lebih tertata rapi. Meskipun masih ada beberapa yang kurang terawat, tapi iyu menjadikan tempat yang memiliki kesan alami. Rindang, banyak terdapat pohon besar. Satwanya juga cukup banyak. Nyaman sebagai tempat …",1
sultan maulana,Kebun binatang nya sangat rapih dan kebersihan nya terjaga,1
Moonstar Moonstar,Wah kebun binatang ini cocok sekali mengajak anak agar bisa mengetahui sekaligus mengenalkan anak tentang hewan berbagai jenis,1
alf fiyan,"Overall sih bagus tempatnya
Tapi. Murah juga tiketnya
Tapi untuk emergency responnya sangat buruk …",0
amanda putri sejati,"Rekomendasi tempat jalan"" + edukasi utk anak",1
Zulmi Adham,"Lumayan, mungkin satwa nya bisa lebih variatif, dan rute berkeliling nya diarahkan satu arah supaya gak muter muter terpencar pencar",0
wiwik pameliati,Seseru itu tempatnya kebersihanya jos.,1
Ekky Jorgian,"KBS sudah mulai beroperasi saat new normal. Petugasnya dapat menjalankan protokol kesehatan dengan baik, juga mereka tak lupa untuk selalu menghimbau pengunjung yang datang agar tetap mematuhi protokol kesehatan yang ada. Tempatnya sepi …",1
Dea Merina,Sekarang uda asri banget menyenangkan lah pokoknya buat liburan dalam kota. Sayangnya hewannya kurang beragam dan beberapa kandang cuma diisi satu ekor. Kayak jerapah dll. Aquarium juga kurang oke sih dari dulu sampe selarang gada perubahan,2
